"FFQ0060.Code.or.Value","FFQ0060.Value.Description","FFQ0060.Count","FFQ0060.Cumulative","FFQ0060.Skip.to.Item"
1,"never",1337,1337,NA
2,"1-6 times per year",1607,2944,NA
3,"7-11 times per year",802,3746,NA
4,"1 time per month",821,4567,NA
5,"2-3 times per month",850,5417,NA
6,"1 time per week",276,5693,NA
7,"2 times per week",149,5842,NA
8,"3-4 times per week",61,5903,NA
9,"5-6 times per week",21,5924,NA
10,"1 time per day",17,5941,NA
11,"2 or more times per day",11,5952,NA
88,"Blank",50,6002,NA
99,"Error",11,6013,NA
