"OHX12CSC.Code.or.Value","OHX12CSC.Value.Description","OHX12CSC.Count","OHX12CSC.Cumulative","OHX12CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #12","Value was recorded",713,713,NA
"0","Lingual AMALGAM restoration",0,713,NA
"1","Occlusal AMALGAM restoration",124,837,NA
"2","Facial AMALGAM restoration",2,839,NA
"3","Mesial AMALGAM restoration",0,839,NA
"4","Distal AMALGAM restoration",4,843,NA
"5","Lingual OTHER restoration",0,843,NA
"6","Occlusal OTHER restoration",129,972,NA
"7","Facial OTHER restoration",6,978,NA
"8","Mesial OTHER restoration",0,978,NA
"9","Distal OTHER restoration",3,981,NA
"-1","Crown (non-specific full-coverage restoration)",440,1421,NA
"-4","Lingual caries",3,1424,NA
"-5","Occlusal caries",17,1441,NA
"-6","Facial caries",5,1446,NA
"-7","Mesial caries",9,1455,NA
"-8","Distal caries",42,1497,NA
"< blank >","Missing",6869,8366,NA
