"OHX12CTC.Code.or.Value","OHX12CTC.Value.Description","OHX12CTC.Count","OHX12CTC.Cumulative","OHX12CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",251,251,NA
"D","Sound primary tooth",1604,1855,NA
"E","Missing due to dental disease",309,2164,NA
"F","Permanent tooth with a restored surface condition",1134,3298,NA
"J","Permanent root tip is present but no restorative replacement is present",82,3380,NA
"K","Primary tooth with a dental carious surface condition",47,3427,NA
"M","Missing due to other causes",302,3729,NA
"P","Missing due to dental disease but replaced by a removable restoration",649,4378,NA
"Q","Missing due to other causes but replaced by a removable restoration",27,4405,NA
"R","Missing due to dental disease but replaced by a fixed restoration",76,4481,NA
"S","Sound permanent tooth",4140,8621,NA
"T","Permanent root tip is present but a restorative replacement is present",0,8621,NA
"U","Unerupted",122,8743,NA
"X","Missing due to other causes but replaced by a fixed restoration",3,8746,NA
"Y","Tooth present, condition cannot be assessed",13,8759,NA
"Z","Permanent tooth with a dental carious surface condition",99,8858,NA
"< blank >","Missing",307,9165,NA
