"FFQ0034.Code.or.Value","FFQ0034.Value.Description","FFQ0034.Count","FFQ0034.Cumulative","FFQ0034.Skip.to.Item"
1,"never",1464,1464,NA
2,"1-6 times per year",876,2340,NA
3,"7-11 times per year",565,2905,NA
4,"1 time per month",636,3541,NA
5,"2-3 times per month",980,4521,NA
6,"1 time per week",624,5145,NA
7,"2 times per week",474,5619,NA
8,"3-4 times per week",208,5827,NA
9,"5-6 times per week",37,5864,NA
10,"1 time per day",21,5885,NA
11,"2 or more times per day",8,5893,NA
88,"Blank",106,5999,NA
99,"Error",14,6013,NA
