"OHX22CTC.Code.or.Value","OHX22CTC.Value.Description","OHX22CTC.Count","OHX22CTC.Cumulative","OHX22CTC.Skip.to.Item"
"D","Sound primary tooth",1355,1355,NA
"E","Missing due to dental disease",98,1453,NA
"J","Permanent root tip is present but no restorative replacement is present",18,1471,NA
"K","Primary tooth with surface condition (s)",30,1501,NA
"M","Missing due to other causes",7,1508,NA
"P","Missing due to dental disease but replaced by a removable restoration",472,1980,NA
"Q","Missing due to other causes but replaced by a removable restoration",4,1984,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",4,1988,NA
"S","Sound permanent tooth",5886,7874,NA
"T","Permanent root tip is present but a restorative replacement is present",5,7879,NA
"U","Unerupted",52,7931,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,7932,NA
"Y","Tooth present, condition cannot be assessed",44,7976,NA
"Z","Permanent tooth with surface condition (s)",269,8245,NA
"< blank >","Missing",602,8847,NA
