"OHX18RSC.Code.or.Value","OHX18RSC.Value.Description","OHX18RSC.Count","OHX18RSC.Cumulative","OHX18RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #18","Value was recorded",10,10,NA
"0","lingual AMALGAM restoration",0,10,NA
"1","occlusal AMALGAM restoration",14,24,NA
"2","facial AMALGAM restoration",5,29,NA
"3","mesial AMALGAM restoration",1,30,NA
"4","distal AMALGAM restoration",0,30,NA
"5","lingual OTHER restoration",0,30,NA
"6","occlusal OTHER restoration",8,38,NA
"7","facial OTHER restoration",2,40,NA
"8","mesial OTHER restoration",0,40,NA
"9","distal OTHER restoration",0,40,NA
"-1","Crown (non-specific full-coverage restoration)",0,40,NA
"< blank >","Missing",9125,9165,NA
