"OHX13CTC.Code.or.Value","OHX13CTC.Value.Description","OHX13CTC.Count","OHX13CTC.Cumulative","OHX13CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",314,314,NA
"D","Sound primary tooth",1476,1790,NA
"E","Missing due to dental disease",401,2191,NA
"F","Permanent tooth with a restored surface condition",1391,3582,NA
"J","Permanent root tip is present but no restorative replacement is present",91,3673,NA
"K","Primary tooth with a dental carious surface condition",56,3729,NA
"M","Missing due to other causes",12,3741,NA
"P","Missing due to dental disease but replaced by a removable restoration",644,4385,NA
"Q","Missing due to other causes but replaced by a removable restoration",27,4412,NA
"R","Missing due to dental disease but replaced by a fixed restoration",66,4478,NA
"S","Sound permanent tooth",3912,8390,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8391,NA
"U","Unerupted",359,8750,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8750,NA
"Y","Tooth present, condition cannot be assessed",13,8763,NA
"Z","Permanent tooth with a dental carious surface condition",95,8858,NA
"< blank >","Missing",307,9165,NA
