"PFQ063C.Code.or.Value","PFQ063C.Value.Description","PFQ063C.Count","PFQ063C.Cumulative","PFQ063C.Skip.to.Item"
"10","Arthritis/rheumatism",18,18,NA
"11","Back or neck problem",23,41,NA
"12","Birth defect",5,46,NA
"13","Cancer",14,60,NA
"14","Depression/anxiety/emotional problem",75,135,NA
"15","Other developmental problem (such as cerebral palsy)",2,137,NA
"16","Diabetes",71,208,NA
"17","Fractures, bone/joint injury",70,278,NA
"18","Hearing problem",49,327,NA
"19","Heart problem",71,398,NA
"20","Hypertension/high blood pressure",102,500,NA
"21","Lung/breathing problem",54,554,NA
"22","Mental retardation",2,556,NA
"23","Other injury",10,566,NA
"24","Senility",7,573,NA
"25","Stroke problem",14,587,NA
"26","Vision/problem seeing",56,643,NA
"27","Weight problem",32,675,NA
"28","Other impairment/problem",43,718,NA
"77","Refused",0,718,NA
"99","Don't know",0,718,NA
".","Missing",8948,9666,NA
