"OHX02CTC.Code.or.Value","OHX02CTC.Value.Description","OHX02CTC.Count","OHX02CTC.Cumulative","OHX02CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",745,745,NA
"J","Permanent root tip is present but no restorative replacement is present",81,826,NA
"K","Primary tooth with surface condition (s)",0,826,NA
"M","Missing due to other causes",3,829,NA
"P","Missing due to dental disease but replaced by a removable restoration",644,1473,NA
"Q","Missing due to other causes but replaced by a removable restoration",34,1507,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",22,1529,NA
"S","Sound permanent tooth",2637,4166,NA
"T","Permanent root tip is present but a restorative replacement is present",0,4166,NA
"U","Unerupted",2401,6567,NA
"X","Missing due to other causes, but replaced  by a fixed restoration",1,6568,NA
"Y","Tooth present, condition cannot be assessed",22,6590,NA
"Z","Permanent tooth with surface condition (s)",2375,8965,NA
"< blank >","Missing",457,9422,NA
