"OHX30RSC.Code.or.Value","OHX30RSC.Value.Description","OHX30RSC.Count","OHX30RSC.Cumulative","OHX30RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #30","Value was recorded",19,19,NA
"0","lingual AMALGAM restoration",0,19,NA
"1","occlusal AMALGAM restoration",9,28,NA
"2","facial AMALGAM restoration",12,40,NA
"3","mesial AMALGAM restoration",0,40,NA
"4","distal AMALGAM restoration",0,40,NA
"5","lingual OTHER restoration",0,40,NA
"6","occlusal OTHER restoration",5,45,NA
"7","facial OTHER restoration",2,47,NA
"8","mesial OTHER restoration",1,48,NA
"9","distal OTHER restoration",1,49,NA
"-1","Crown (non-specific full-coverage restoration)",1,50,NA
"< blank >","Missing",9115,9165,NA
