"OHX31CSC.Code.or.Value","OHX31CSC.Value.Description","OHX31CSC.Count","OHX31CSC.Cumulative","OHX31CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1104,1104,NA
"0","Lingual surface caries",2,1106,NA
"1","Occlusal/incisal caries",124,1230,NA
"2","Facial surface caries",59,1289,NA
"3","Mesial caries",2,1291,NA
"4","Distal caries",0,1291,NA
"5","Lingual surface restoration",1,1292,NA
"6","Occlusal/incisal restoration",781,2073,NA
"7","Facial surface restoration",55,2128,NA
"8","Mesial restoration",1,2129,NA
"9","Distal restoration",0,2129,NA
"< blank >","Missing",6458,8587,NA
