"OHX19CTC.Code.or.Value","OHX19CTC.Value.Description","OHX19CTC.Count","OHX19CTC.Cumulative","OHX19CTC.Skip.to.Item"
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1049,1049,NA
"J","Permanent root tip is present but no restorative replacement is present",95,1144,NA
"K","Primary tooth with surface condition (s)",0,1144,NA
"M","Missing due to other causes",2,1146,NA
"P","Missing due to dental disease but replaced by a removable restoration",541,1687,NA
"Q","Missing due to other causes but replaced by a removable restoration",0,1687,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",127,1814,NA
"S","Sound permanent tooth",2817,4631,NA
"T","Permanent root tip is present but a restorative replacement is present",1,4632,NA
"U","Unerupted",1161,5793,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,5794,NA
"Y","Tooth present, condition cannot be assessed",52,5846,NA
"Z","Permanent tooth with surface condition (s)",2595,8441,NA
"< blank >","Missing",515,8956,NA
