"OHX04CTC.Code.or.Value","OHX04CTC.Value.Description","OHX04CTC.Count","OHX04CTC.Cumulative","OHX04CTC.Skip.to.Item"
"D","Sound primary tooth",1399,1399,NA
"E","Missing due to dental disease",429,1828,NA
"J","Permanent root tip is present but no restorative replacement is present",96,1924,NA
"K","Primary tooth with surface condition (s)",417,2341,NA
"M","Missing due to other causes",7,2348,NA
"P","Missing due to dental disease but replaced by a removable restoration",657,3005,NA
"Q","Missing due to other causes but replaced by a removable restoration",2,3007,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",81,3088,NA
"S","Sound permanent tooth",3617,6705,NA
"T","Permanent root tip is present but a restorative replacement is present",2,6707,NA
"U","Unerupted",312,7019,NA
"X","Missing due to other causes, but replaced by a fixed restoration",3,7022,NA
"Y","Tooth present, condition cannot be assessed",31,7053,NA
"Z","Permanent tooth with surface condition (s)",1388,8441,NA
"< blank >","Missing",515,8956,NA
