"FFQ0109.Code.or.Value","FFQ0109.Value.Description","FFQ0109.Count","FFQ0109.Cumulative","FFQ0109.Skip.to.Item"
1,"never",3435,3435,NA
2,"1-6 times per year",860,4295,NA
3,"7-11 times per year",435,4730,NA
4,"1 time per month",414,5144,NA
5,"2-3 times per month",490,5634,NA
6,"1 time per week",224,5858,NA
7,"2 times per week",223,6081,NA
8,"3-4 times per week",123,6204,NA
9,"5-6 times per week",35,6239,NA
10,"1 time per day",40,6279,NA
11,"2 or more times per day",10,6289,NA
88,"Blank",152,6441,NA
99,"Error",31,6472,NA
