"FFQ0112.Code.or.Value","FFQ0112.Value.Description","FFQ0112.Count","FFQ0112.Cumulative","FFQ0112.Skip.to.Item"
1,"never",464,464,"FFQ0113"
2,"1-6 times per year",651,1115,""
3,"7-11 times per year",784,1899,""
4,"1 time per month",765,2664,""
5,"2-3 times per month",1477,4141,""
6,"1 time per week",737,4878,""
7,"2 times per week",614,5492,""
8,"3-4 times per week",512,6004,""
9,"5-6 times per week",171,6175,""
10,"1 time per day",112,6287,""
11,"2 or more times per day",41,6328,""
88,"Blank",116,6444,""
99,"Error",28,6472,""
