"FFQ0101.Code.or.Value","FFQ0101.Value.Description","FFQ0101.Count","FFQ0101.Cumulative","FFQ0101.Skip.to.Item"
1,"never",883,883,NA
2,"1-6 times per year",1611,2494,NA
3,"7-11 times per year",856,3350,NA
4,"1 time per month",740,4090,NA
5,"2-3 times per month",1033,5123,NA
6,"1 time per week",463,5586,NA
7,"2 times per week",387,5973,NA
8,"3-4 times per week",221,6194,NA
9,"5-6 times per week",63,6257,NA
10,"1 time per day",56,6313,NA
11,"2 or more times per day",23,6336,NA
88,"Blank",110,6446,NA
99,"Error",26,6472,NA
