"OHD05CTC.Code.or.Value","OHD05CTC.Value.Description","OHD05CTC.Count","OHD05CTC.Cumulative","OHD05CTC.Skip.to.Item"
"D","Sound primary tooth",1454,1454,NA
"E","Missing due to dental disease",226,1680,NA
"K","Primary tooth with surface condition (s)",219,1899,NA
"M","Missing due to other causes",293,2192,NA
"R","Missing due to dental disease but replaced",859,3051,NA
"S","Sound permanent tooth",4488,7539,NA
"U","Unerupted",47,7586,NA
"X","Missing due to other causes but replaced",15,7601,NA
"Y","Tooth present, condition cannot be assessed",6,7607,NA
"Z","Permanent tooth with surface condition (s)",1364,8971,NA
"< blank >","Missing",627,9598,NA
