"OSQ100c.Code.or.Value","OSQ100c.Value.Description","OSQ100c.Count","OSQ100c.Cumulative","OSQ100c.Skip.to.Item"
"10","HEAD/FACE",1,1,NA
"11","UPPER ARM (HUMERUS)",0,1,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",0,1,NA
"13","ELBOW",0,1,NA
"14","HAND",1,2,NA
"15","FINGERS",4,6,NA
"16","SHOULDER",1,7,NA
"17","COLLAR BONE",0,7,NA
"18","RIBS (EITHER SIDE)",1,8,NA
"19","PELVIS (NOT HIP)",0,8,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,8,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",0,8,NA
"22","KNEE (PATELLA)",3,11,NA
"23","ANKLE",3,14,NA
"24","HEEL",0,14,NA
"25","FOOT",2,16,NA
"26","TOES",3,19,NA
"27","OTHER (DO NOT SPECIFY)",0,19,NA
"77","Refused",0,19,NA
"99","Don't know",0,19,NA
".","Missing",4960,4979,NA
