"DR1FS.Code.or.Value","DR1FS.Value.Description","DR1FS.Count","DR1FS.Cumulative","DR1FS.Skip.to.Item"
"1","Store - grocery/supermarket",80619,80619,NA
"2","Restaurant with waiter/waitress",8552,89171,NA
"3","Restaurant fast food/pizza",11901,101072,NA
"4","Bar/tavern/lounge",238,101310,NA
"5","Restaurant no additional information",51,101361,NA
"6","Cafeteria NOT in a K-12 school",891,102252,NA
"7","Cafeteria in a K-12 school",3268,105520,NA
"8","Child/Adult care center",537,106057,NA
"9","Child/Adult home care",249,106306,NA
"10","Soup kitchen/shelter/food pantry",52,106358,NA
"11","Meals on Wheels",62,106420,NA
"12","Community food program - other",279,106699,NA
"13","Community program no additional information",0,106699,NA
"14","Vending machine",325,107024,NA
"15","Common coffee pot or snack tray",494,107518,NA
"16","From someone else/gift",7566,115084,NA
"17","Mail order purchase",361,115445,NA
"18","Residential dining facility",168,115613,NA
"19","Grown or caught by you or someone you know",552,116165,NA
"20","Fish caught by you or someone you know",15,116180,NA
"24","Sport, recreation, or entertainment facility",620,116800,NA
"25","Street vendor, vending truck",246,117046,NA
"26","Fundraiser sales",169,117215,NA
"27","Store - convenience type",4872,122087,NA
"28","Store - no additional info",152,122239,NA
"91","Other, specify",0,122239,NA
"99","Don't know",364,122603,NA
".","Missing",8791,131394,NA
