"OHX22CTC.Code.or.Value","OHX22CTC.Value.Description","OHX22CTC.Count","OHX22CTC.Cumulative","OHX22CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",13,13,NA
"D","Sound primary tooth",1828,1841,NA
"E","Missing due to dental disease",67,1908,NA
"F","Permanent tooth with a restored surface condition",141,2049,NA
"J","Permanent root tip is present but no restorative replacement is present",26,2075,NA
"K","Primary tooth with a dental carious surface condition",5,2080,NA
"M","Missing due to other causes",4,2084,NA
"P","Missing due to dental disease but replaced by a removable restoration",322,2406,NA
"Q","Missing due to other causes but replaced by a removable restoration",14,2420,NA
"R","Missing due to dental disease but replaced by a fixed restoration",12,2432,NA
"S","Sound permanent tooth",6132,8564,NA
"T","Permanent root tip is present but a restorative replacement is present",3,8567,NA
"U","Unerupted",192,8759,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8759,NA
"Y","Tooth present, condition cannot be assessed",22,8781,NA
"Z","Permanent tooth with a dental carious surface condition",77,8858,NA
"< blank >","Missing",307,9165,NA
