"OHX22CSC.Code.or.Value","OHX22CSC.Value.Description","OHX22CSC.Count","OHX22CSC.Cumulative","OHX22CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #22","Value was recorded",57,57,NA
"0","Lingual AMALGAM restoration",2,59,NA
"1","Occlusal AMALGAM restoration",0,59,NA
"2","Facial AMALGAM restoration",10,69,NA
"3","Mesial AMALGAM restoration",1,70,NA
"4","Distal AMALGAM restoration",3,73,NA
"5","Lingual OTHER restoration",3,76,NA
"6","Occlusal OTHER restoration",0,76,NA
"7","Facial OTHER restoration",21,97,NA
"8","Mesial OTHER restoration",10,107,NA
"9","Distal OTHER restoration",10,117,NA
"-1","Crown (non-specific full-coverage restoration)",76,193,NA
"-4","Lingual caries",0,193,NA
"-5","Occlusal caries",0,193,NA
"-6","Facial caries",20,213,NA
"-7","Mesial caries",14,227,NA
"-8","Distal caries",9,236,NA
"< blank >","Missing",8929,9165,NA
