"FFQ0087.Code.or.Value","FFQ0087.Value.Description","FFQ0087.Count","FFQ0087.Cumulative","FFQ0087.Skip.to.Item"
1,"never",1326,1326,NA
2,"1-6 times per year",1416,2742,NA
3,"7-11 times per year",811,3553,NA
4,"1 time per month",658,4211,NA
5,"2-3 times per month",1030,5241,NA
6,"1 time per week",399,5640,NA
7,"2 times per week",383,6023,NA
8,"3-4 times per week",204,6227,NA
9,"5-6 times per week",72,6299,NA
10,"1 time per day",62,6361,NA
11,"2 or more times per day",20,6381,NA
88,"Blank",72,6453,NA
99,"Error",19,6472,NA
