"OHX29CSC.Code.or.Value","OHX29CSC.Value.Description","OHX29CSC.Count","OHX29CSC.Cumulative","OHX29CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1144,1144,NA
"0","Lingual surface caries",0,1144,NA
"1","Occlusal/incisal caries",97,1241,NA
"2","Facial surface caries",13,1254,NA
"3","Mesial caries",9,1263,NA
"4","Distal caries",9,1272,NA
"5","Lingual surface restoration",0,1272,NA
"6","Occlusal/incisal restoration",423,1695,NA
"7","Facial surface restoration",13,1708,NA
"8","Mesial restoration",2,1710,NA
"9","Distal restoration",3,1713,NA
"< blank >","Missing",7134,8847,NA
