"OHX21CSC.Code.or.Value","OHX21CSC.Value.Description","OHX21CSC.Count","OHX21CSC.Cumulative","OHX21CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #21","Value was recorded",407,407,NA
"0","Lingual AMALGAM restoration",0,407,NA
"1","Occlusal AMALGAM restoration",166,573,NA
"2","Facial AMALGAM restoration",10,583,NA
"3","Mesial AMALGAM restoration",0,583,NA
"4","Distal AMALGAM restoration",5,588,NA
"5","Lingual OTHER restoration",0,588,NA
"6","Occlusal OTHER restoration",121,709,NA
"7","Facial OTHER restoration",18,727,NA
"8","Mesial OTHER restoration",2,729,NA
"9","Distal OTHER restoration",3,732,NA
"-1","Crown (non-specific full-coverage restoration)",286,1018,NA
"-4","Lingual caries",0,1018,NA
"-5","Occlusal caries",24,1042,NA
"-6","Facial caries",15,1057,NA
"-7","Mesial caries",9,1066,NA
"-8","Distal caries",31,1097,NA
"< blank >","Missing",8068,9165,NA
