"OHX04CSC.Code.or.Value","OHX04CSC.Value.Description","OHX04CSC.Count","OHX04CSC.Cumulative","OHX04CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #4","Value was recorded",884,884,NA
"0","Lingual AMALGAM restoration",2,886,NA
"1","Occlusal AMALGAM restoration",134,1020,NA
"2","Facial AMALGAM restoration",1,1021,NA
"3","Mesial AMALGAM restoration",0,1021,NA
"4","Distal AMALGAM restoration",2,1023,NA
"5","Lingual OTHER restoration",0,1023,NA
"6","Occlusal OTHER restoration",142,1165,NA
"7","Facial OTHER restoration",2,1167,NA
"8","Mesial OTHER restoration",3,1170,NA
"9","Distal OTHER restoration",4,1174,NA
"-1","Crown (non-specific full-coverage restoration)",513,1687,NA
"-4","Lingual caries",5,1692,NA
"-5","Occlusal caries",19,1711,NA
"-6","Facial caries",1,1712,NA
"-7","Mesial caries",28,1740,NA
"-8","Distal caries",17,1757,NA
"< blank >","Missing",6609,8366,NA
