"OHX29CTC.Code.or.Value","OHX29CTC.Value.Description","OHX29CTC.Count","OHX29CTC.Cumulative","OHX29CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",409,409,NA
"D","Sound primary tooth",1382,1791,NA
"E","Missing due to dental disease",392,2183,NA
"F","Permanent tooth with a restored surface condition",1248,3431,NA
"J","Permanent root tip is present but no restorative replacement is present",66,3497,NA
"K","Primary tooth with a dental carious surface condition",90,3587,NA
"M","Missing due to other causes",13,3600,NA
"P","Missing due to dental disease but replaced by a removable restoration",474,4074,NA
"Q","Missing due to other causes but replaced by a removable restoration",16,4090,NA
"R","Missing due to dental disease but replaced by a fixed restoration",42,4132,NA
"S","Sound permanent tooth",4267,8399,NA
"T","Permanent root tip is present but a restorative replacement is present",1,8400,NA
"U","Unerupted",356,8756,NA
"X","Missing due to other causes but replaced by a fixed restoration",4,8760,NA
"Y","Tooth present, condition cannot be assessed",8,8768,NA
"Z","Permanent tooth with a dental carious surface condition",90,8858,NA
"< blank >","Missing",307,9165,NA
