"FFQ0054.Code.or.Value","FFQ0054.Value.Description","FFQ0054.Count","FFQ0054.Cumulative","FFQ0054.Skip.to.Item"
1,"never",1410,1410,NA
2,"1-6 times per year",1727,3137,NA
3,"7-11 times per year",956,4093,NA
4,"1 time per month",779,4872,NA
5,"2-3 times per month",700,5572,NA
6,"1 time per week",239,5811,NA
7,"2 times per week",193,6004,NA
8,"3-4 times per week",107,6111,NA
9,"5-6 times per week",53,6164,NA
10,"1 time per day",75,6239,NA
11,"2 or more times per day",43,6282,NA
88,"Blank",160,6442,NA
99,"Error",30,6472,NA
