"OHX26CSC.Code.or.Value","OHX26CSC.Value.Description","OHX26CSC.Count","OHX26CSC.Cumulative","OHX26CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",92,92,NA
"0","Lingual surface caries",2,94,NA
"2","Facial surface caries",6,100,NA
"3","Mesial caries",7,107,NA
"4","Distal caries",29,136,NA
"5","Lingual surface restoration",1,137,NA
"7","Facial surface restoration",9,146,NA
"8","Mesial restoration",21,167,NA
"9","Distal restoration",26,193,NA
"< blank >","Missing",8654,8847,NA
