"OHX07CSC.Code.or.Value","OHX07CSC.Value.Description","OHX07CSC.Count","OHX07CSC.Cumulative","OHX07CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #7","Value was recorded",475,475,NA
"0","Lingual surface caries",26,501,NA
"2","Facial surface caries",19,520,NA
"3","Mesial caries",29,549,NA
"4","Distal caries",13,562,NA
"5","Lingual surface restoration",95,657,NA
"7","Facial surface restoration",22,679,NA
"8","Mesial restoration",20,699,NA
"9","Distal restoration",1,700,NA
"< blank >","Missing",8256,8956,NA
