"FFQ0099.Code.or.Value","FFQ0099.Value.Description","FFQ0099.Count","FFQ0099.Cumulative","FFQ0099.Skip.to.Item"
1,"never",579,579,NA
2,"1-6 times per year",889,1468,NA
3,"7-11 times per year",680,2148,NA
4,"1 time per month",683,2831,NA
5,"2-3 times per month",1231,4062,NA
6,"1 time per week",703,4765,NA
7,"2 times per week",654,5419,NA
8,"3-4 times per week",548,5967,NA
9,"5-6 times per week",185,6152,NA
10,"1 time per day",135,6287,NA
11,"2 or more times per day",70,6357,NA
88,"Blank",90,6447,NA
99,"Error",25,6472,NA
