"OHX20CSC.Code.or.Value","OHX20CSC.Value.Description","OHX20CSC.Count","OHX20CSC.Cumulative","OHX20CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1114,1114,NA
"0","Lingual surface caries",0,1114,NA
"1","Occlusal/incisal caries",107,1221,NA
"2","Facial surface caries",12,1233,NA
"3","Mesial caries",12,1245,NA
"4","Distal caries",16,1261,NA
"5","Lingual surface restoration",2,1263,NA
"6","Occlusal/incisal restoration",424,1687,NA
"7","Facial surface restoration",22,1709,NA
"8","Mesial restoration",0,1709,NA
"9","Distal restoration",4,1713,NA
"< blank >","Missing",7134,8847,NA
