"OHX25CSC.Code.or.Value","OHX25CSC.Value.Description","OHX25CSC.Count","OHX25CSC.Cumulative","OHX25CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #25","Value was recorded",73,73,NA
"0","Lingual surface caries",5,78,NA
"2","Facial surface caries",14,92,NA
"3","Mesial caries",4,96,NA
"4","Distal caries",9,105,NA
"5","Lingual surface restoration",8,113,NA
"7","Facial surface restoration",18,131,NA
"8","Mesial restoration",6,137,NA
"9","Distal restoration",4,141,NA
"< blank >","Missing",9281,9422,NA
