"OHX19CSC.Code.or.Value","OHX19CSC.Value.Description","OHX19CSC.Count","OHX19CSC.Cumulative","OHX19CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1642,1642,NA
"0","Lingual surface caries",0,1642,NA
"1","Occlusal/incisal caries",103,1745,NA
"2","Facial surface caries",90,1835,NA
"3","Mesial caries",5,1840,NA
"4","Distal caries",3,1843,NA
"5","Lingual surface restoration",1,1844,NA
"6","Occlusal/incisal restoration",580,2424,NA
"7","Facial surface restoration",168,2592,NA
"8","Mesial restoration",0,2592,NA
"9","Distal restoration",1,2593,NA
"< blank >","Missing",5994,8587,NA
