"OHX03CTC.Code.or.Value","OHX03CTC.Value.Description","OHX03CTC.Count","OHX03CTC.Cumulative","OHX03CTC.Skip.to.Item"
"E","Missing due to dental disease",553,553,NA
"J","Permanent root tip is present but no restorative replacement is present",62,615,NA
"M","Missing due to other causes",6,621,NA
"P","Missing due to dental disease but replaced by a removable restoration",875,1496,NA
"Q","Missing due to other causes but replaced by a removable restoration",4,1500,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",72,1572,NA
"S","Sound permanent tooth",3192,4764,NA
"T","Permanent root tip is present but a restorative replacement is present",1,4765,NA
"U","Unerupted",810,5575,NA
"X","Missing due to other causes, but replaced by a fixed restoration",1,5576,NA
"Y","Tooth present, condition cannot be assessed",1,5577,NA
"Z","Permanent tooth with surface condition (s)",2668,8245,NA
"< blank >","Missing",602,8847,NA
