"FFQ0072.Code.or.Value","FFQ0072.Value.Description","FFQ0072.Count","FFQ0072.Cumulative","FFQ0072.Skip.to.Item"
1,"never",2036,2036,"FFQ0073"
2,"1-6 times per year",977,3013,""
3,"7-11 times per year",639,3652,""
4,"1 time per month",543,4195,""
5,"2-3 times per month",754,4949,""
6,"1 time per week",428,5377,""
7,"2 times per week",474,5851,""
8,"3-4 times per week",300,6151,""
9,"5-6 times per week",98,6249,""
10,"1 time per day",44,6293,""
11,"2 or more times per day",25,6318,""
88,"Blank",127,6445,""
99,"Error",27,6472,""
