"OHX29RSC.Code.or.Value","OHX29RSC.Value.Description","OHX29RSC.Count","OHX29RSC.Cumulative","OHX29RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #29","Value was recorded",6,6,NA
"0","lingual AMALGAM restoration",0,6,NA
"1","occlusal AMALGAM restoration",2,8,NA
"2","facial AMALGAM restoration",1,9,NA
"3","mesial AMALGAM restoration",2,11,NA
"4","distal AMALGAM restoration",1,12,NA
"5","lingual OTHER restoration",0,12,NA
"6","occlusal OTHER restoration",2,14,NA
"7","facial OTHER restoration",1,15,NA
"8","mesial OTHER restoration",0,15,NA
"9","distal OTHER restoration",0,15,NA
"-1","Crown (non-specific full-coverage restoration)",0,15,NA
"< blank >","Missing",9150,9165,NA
