"OHX07CTC.Code.or.Value","OHX07CTC.Value.Description","OHX07CTC.Count","OHX07CTC.Cumulative","OHX07CTC.Skip.to.Item"
"D","Sound primary tooth",937,937,NA
"E","Missing due to dental disease",110,1047,NA
"J","Permanent root tip is present but no restorative replacement is present",31,1078,NA
"K","Primary tooth with surface condition (s)",87,1165,NA
"M","Missing due to other causes",21,1186,NA
"P","Missing due to dental disease but replaced by a removable restoration",798,1984,NA
"Q","Missing due to other causes but replaced by a removable restoration",32,2016,NA
"R","Missing due to dental disease, but replaced by a fixed restoration",41,2057,NA
"S","Sound permanent tooth",5091,7148,NA
"T","Permanent root tip is present but a restorative replacement is present",4,7152,NA
"U","Unerupted",145,7297,NA
"X","Missing due to other causes, but replaced but replaced by a fixed restoration",20,7317,NA
"Y","Tooth present, condition cannot be assessed",110,7427,NA
"Z","Permanent tooth with surface condition (s)",818,8245,NA
"< blank >","Missing",602,8847,NA
