"FFQ0053.Code.or.Value","FFQ0053.Value.Description","FFQ0053.Count","FFQ0053.Cumulative","FFQ0053.Skip.to.Item"
1,"never",1388,1388,NA
2,"1-6 times per year",2510,3898,NA
3,"7-11 times per year",827,4725,NA
4,"1 time per month",631,5356,NA
5,"2-3 times per month",532,5888,NA
6,"1 time per week",187,6075,NA
7,"2 times per week",95,6170,NA
8,"3-4 times per week",56,6226,NA
9,"5-6 times per week",17,6243,NA
10,"1 time per day",27,6270,NA
11,"2 or more times per day",11,6281,NA
88,"Blank",166,6447,NA
99,"Error",25,6472,NA
