"FFQ0098.Code.or.Value","FFQ0098.Value.Description","FFQ0098.Count","FFQ0098.Cumulative","FFQ0098.Skip.to.Item"
1,"never",350,350,"FFQ0099"
2,"1-6 times per year",896,1246,""
3,"7-11 times per year",793,2039,""
4,"1 time per month",1012,3051,""
5,"2-3 times per month",1703,4754,""
6,"1 time per week",913,5667,""
7,"2 times per week",371,6038,""
8,"3-4 times per week",162,6200,""
9,"5-6 times per week",68,6268,""
10,"1 time per day",38,6306,""
11,"2 or more times per day",29,6335,""
88,"Blank",110,6445,""
99,"Error",27,6472,""
