"PFD067b.Code.or.Value","PFD067b.Value.Description","PFD067b.Count","PFD067b.Cumulative","PFD067b.Skip.to.Item"
"10","Arthritis/rheumatism",36,36,NA
"11","Back or neck problem",186,222,NA
"12","Birth defect",2,224,NA
"13","Cancer",15,239,NA
"14","Depression/anxiety/emotional problem",41,280,NA
"15","Other developmental problem (such as cerebral palsy)",1,281,NA
"16","Diabetes",51,332,NA
"17","Fractures, bone/joint injury",61,393,NA
"18","Hearing problem",28,421,NA
"19","Heart problem",31,452,NA
"20","Hypertension/high blood pressure",38,490,NA
"21","Lung/breathing problem",30,520,NA
"22","Mental retardation",2,522,NA
"23","Other injury",19,541,NA
"24","Senility",8,549,NA
"25","Stroke problem",16,565,NA
"26","Vision/problem seeing",46,611,NA
"27","Weight problem",31,642,NA
"28","Other impairment/problem",79,721,NA
"77","Refused",0,721,NA
"99","Don't know",0,721,NA
".","Missing",8772,9493,NA
