"OHQ030.Code.or.Value","OHQ030.Value.Description","OHQ030.Count","OHQ030.Cumulative","OHQ030.Skip.to.Item"
"1","6 months or less",4268,4268,""
"2","More than 6 months, but not more than 1 year ago",1657,5925,""
"3","More than 1 year, but not more than 2 years ago",1187,7112,""
"4","More than 2 years, but not more than 3 years ago",603,7715,""
"5","More than 3 years, but not more than 5 years ago",541,8256,""
"6","More than 5 years ago",939,9195,""
"7","Never have been",892,10087,"End of Section"
"77","Refused",4,10091,""
"99","Don't know",32,10123,""
".","Missing",4,10127,""
