"OHX06CSC.Code.or.Value","OHX06CSC.Value.Description","OHX06CSC.Count","OHX06CSC.Cumulative","OHX06CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #6","Value was recorded",365,365,NA
"0","Lingual surface caries",22,387,NA
"2","Facial surface caries",47,434,NA
"3","Mesial caries",26,460,NA
"4","Distal caries",26,486,NA
"5","Lingual surface restoration",18,504,NA
"7","Facial surface restoration",48,552,NA
"8","Mesial restoration",32,584,NA
"9","Distal restoration",34,618,NA
"< blank >","Missing",8804,9422,NA
