"OHX29RSC.Code.or.Value","OHX29RSC.Value.Description","OHX29RSC.Count","OHX29RSC.Cumulative","OHX29RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #29","Value was recorded",8,8,NA
"0","lingual AMALGAM restoration",0,8,NA
"1","occlusal AMALGAM restoration",8,16,NA
"2","facial AMALGAM restoration",0,16,NA
"3","mesial AMALGAM restoration",1,17,NA
"4","distal AMALGAM restoration",0,17,NA
"5","lingual OTHER restoration",0,17,NA
"6","occlusal OTHER restoration",6,23,NA
"7","facial OTHER restoration",0,23,NA
"8","mesial OTHER restoration",0,23,NA
"9","distal OTHER restoration",0,23,NA
"-1","Crown (non-specific full-coverage restoration)",1,24,NA
"< blank >","Missing",8342,8366,NA
