"OHX08CTC.Code.or.Value","OHX08CTC.Value.Description","OHX08CTC.Count","OHX08CTC.Cumulative","OHX08CTC.Skip.to.Item"
"D","Sound primary tooth",717,717,NA
"E","Missing due to dental disease",108,825,NA
"K","Primary tooth with surface condition (s)",81,906,NA
"M","Missing due to other causes",5,911,NA
"R","Missing due to dental disease but replaced",794,1705,NA
"S","Sound permanent tooth",5398,7103,NA
"U","Unerupted",52,7155,NA
"X","Missing due to other causes but replaced",67,7222,NA
"Y","Tooth present, condition cannot be assessed",151,7373,NA
"Z","Permanent tooth with surface condition (s)",668,8041,NA
"< blank >","Missing",546,8587,NA
