"FFQ0111.Code.or.Value","FFQ0111.Value.Description","FFQ0111.Count","FFQ0111.Cumulative","FFQ0111.Skip.to.Item"
1,"never",2770,2770,NA
2,"1-6 times per year",1253,4023,NA
3,"7-11 times per year",592,4615,NA
4,"1 time per month",440,5055,NA
5,"2-3 times per month",574,5629,NA
6,"1 time per week",266,5895,NA
7,"2 times per week",196,6091,NA
8,"3-4 times per week",119,6210,NA
9,"5-6 times per week",52,6262,NA
10,"1 time per day",48,6310,NA
11,"2 or more times per day",21,6331,NA
88,"Blank",118,6449,NA
99,"Error",23,6472,NA
