"Variable Name","SAS Label","English Text","Target","Table"
"DRXIS100","SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIS120","SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIS140","SFA 14:0 (Tetradecanoic) (gm)","SFA 14:0 (Tetradecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIS160","SFA 16:0 (Hexadecanoic) (gm)","SFA 16:0 (Hexadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIS180","SFA 18:0 (Octadecanoic) (gm)","SFA 18:0 (Octadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXISELE","Selenium (mcg)","Selenium (mcg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXISFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXITFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXITHEO","Theobromine (mg)","Theobromine (mg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIVAIU","Vitamin A (IU)","Vitamin A (IU)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIVARE","Vitamin A (RE)","Vitamin A (RE)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIVB1","Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIVB12","Vitamin B12 (mcg)","Vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIVB2","Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIVB6","Vitamin B6 (mg)","Vitamin B6 (mg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIVC","Vitamin C (mg)","Vitamin C (mg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIVE","Vitamin E (ATE) (mg)","Vitamin E (Alpha-Tocopherol Equivalents) (mg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIWATE","Moisture (gm)","Moisture (gm)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRXIZINC","Zinc (mg)","Zinc (mg)","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"WTDR4YR","Dietary day one 4-Year sample weight","Dietary day one 4-Year sample weight - Used for 1999-2002 data collection years only","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"WTDRD1","Dietary day one 2-Year sample weight","Dietary day one 2-Year sample weight - Used for 1999-2000 data collection years only","Both males and females 0 YEARS - 150 YEARS","DRXIFF"
"DRALANG","Language SP/Proxy used mostly","The SP/Proxy spoke mostly:","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRARESP","Main respondent for the interview","Who was the main respondent for the interview?","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRASCST2","Post dietary recall section status","Post dietary recall section status","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRD320GW","Total plain water drank yesterday (gm)","How much plain water did you drink yesterday? Indicate only plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRD330GW","Total home tap water drank yesterday(gm)","How much of the plain water you drank was home tap water?","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRD350A","Clams eaten during past 30 days","Clams eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350B","Crabs eaten during past 30 days","Crabs eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350C","Crayfish eaten during past 30 days","Crayfish eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350D","Lobsters eaten during past 30 days","Lobsters eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350E","Mussels eaten during past 30 days","Mussels eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350F","Oysters eaten during past 30 days","Oysters eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350G","Scallops eaten during past 30 days","Scallops eaten during the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350H","Shrimp eaten during past 30 days","Shrimp eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350I","Other shellfish eaten past 30 days","Other shellfish ( ex. octopus, squid) eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350J","Other unknown shellfish eaten past 30 d","Other unknown shellfish eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD350K","Refused","Refused to give detailed information on shellfish eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370A","Breaded fish products eaten past 30 days","Breaded fish products eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370B","Tuna eaten during past 30 days","Tuna eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370C","Bass eaten during past 30 days","Bass eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370D","Catfish eaten during past 30 days","Catfish eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370E","Cod eaten during past 30 days","Cod eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370F","Flatfish eaten during past 30 days","Flatfish eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370G","Haddock eaten during past 30 days","Haddock eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370H","Mackerel eaten during past 30 days","Mackerel eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370I","Perch eaten during past 30 days","Perch eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370J","Pike eaten during past 30 days","Pike eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370K","Pollock eaten during past 30 days","Pollock eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370L","Porgy eaten during past 30 days","Porgy eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370M","Salmon eaten during past 30 days","Salmon eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370N","Sardines eaten during past 30 days","Sardines eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370O","Sea bass eaten during past 30 days","Sea bass eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370P","Shark eaten during past 30 days","Shark eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370Q","Swordfish eaten during past 30 days","Swordfish eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370R","Trout eaten during past 30 days","Trout eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370S","Walleye eaten during past 30 days","Walleye eaten during the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370T","Other fish eaten during past 30 days","Other type of fish eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370U","Other unknown fish eaten in past 30 days","Other unknown type eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRD370V","Refused","Refused to give detailed information on fish eaten during past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRDAINMD","Assigned mode of interview","Assigned mode of interview","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRDDAY","Intake day of the week","Intake day of the week","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRDDRSTS","Dietary recall status","Dietary recall status","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRDEXMER","Interviewer ID code (sequential #)","Interviewer ID code (sequential #)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRDINTMD","Mode of interview","Mode of interview","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRDTSODF","Salt adjustment flag","Salt adjustment flag","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRDTSODI","Sodium (mg)","Sodium (mg) (adjusted for salt use in food preparation)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRQ300","Compare food consumed yesterday to usual","Was the amount of food you ate yesterday about usual, less than usual, or more than usual?","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRQ340","Shellfish eaten during past 30 days","Please look at this list of shellfish. During the past 30 days did you eat any types of shellfish listed on this card? Include any foods that had shellfish in them such as sandwiches, soups, or salads.","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350AQ","Num times clams eaten in past 30 days","Number of times clams were eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350BQ","Num times crabs eaten in past 30 days","Number of times crab was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350CQ","Num times crayfish eaten in past 30 days","Number of times crayfish was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350DQ","Num times lobsters eaten in past 30 days","Number of times lobster was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350EQ","Num times mussels eaten in past 30 days","Number of times mussels was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350FQ","Num times oysters eaten in past 30 days","Number of times oysters was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350GQ","Num times scallops eaten in past 30 days","Number of times scallops was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350HQ","Num times shrimp eaten in past 30 days","Number of times shrimp was eaten in the last 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350IQ","Num times other shellfish eaten","Number of times other shellfish (ex. octopus, squid) was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ350JQ","Num times other unknown shellfish eaten","Number of times other unknown shellfish was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ360","Fish eaten during past 30 days","Please look at this list of fish. During the past 30 days did you eat any types of fish listed on this card? Include any foods that had fish in them such as sandwiches, soups, or salads.","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370AQ","Num times breaded fish products eaten","Number of times breaded fish products was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370BQ","Num times tuna eaten in past 30 days","Number of times tuna was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370CQ","Num times bass eaten in past 30 days","Number of times bass was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370DQ","Num times catfish eaten in past 30 days","Number of times catfish was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370EQ","Num times cod eaten in past 30 days","Number of times cod was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370FQ","Num times flatfish eaten in past 30 days","Number of times flatfish was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370GQ","Num times haddock eaten in past 30 days","Number of times haddock was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370HQ","Num times mackerel eaten in past 30 days","Number of times mackerel was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370IQ","Num times perch eaten in past 30 days","Number of times perch was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370JQ","Num times pike eaten in past 30 days","Number of times pike was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370KQ","Num times pollock eaten in past 30 days","Number of times pollock was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370LQ","Num times porgy eaten in past 30 days","Number of times porgy was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370MQ","Num times salmon eaten in past 30 days","Number of times salmon was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370NQ","Num times sardines eaten in past 30 days","Number of times sardines was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370OQ","Num times sea bass eaten in past 30 days","Number of times sea bass was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370PQ","Num times shark eaten in past 30 days","Number of times shark was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370QQ","Num times swordfish eaten past 30 days","Number of times swordfish was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370RQ","Num times trout eaten in past 30 days","Number of times trout was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370SQ","Num times walleye eaten in past 30 days","Number of times walleye was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370TQ","Num times other fish eaten past 30 days","Number of times other type of fish was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRQ370UQ","Num times other unknown fish eaten","Number of times other unknown type of fish was eaten in the past 30 days","Both males and females 1 YEARS - 150 YEARS","DRXTOT"
"DRXTALCO","Alcohol (gm)","Alcohol (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTCAFF","Caffeine (mg)","Caffeine (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTCALC","Calcium (mg)","Calcium (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTCARB","Carbohydrate (gm)","Carbohydrate (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTCARO","Carotene (RE)","Carotene (RE)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTCHOL","Cholesterol (mg)","Cholesterol (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTCOPP","Copper (mg)","Copper (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTFIBE","Dietary fiber (gm)","Dietary fiber (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTFOLA","Total Folate (mcg)","Total Folate (mcg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTIRON","Iron (mg)","Iron (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTKCAL","Energy (kcal)","Energy (kcal)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTM161","MFA 16:1 (Hexadecenoic) (gm)","MFA 16:1 (Hexadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTM181","MFA 18:1 (Octadecenoic) (gm)","MFA 18:1 (Octadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTM201","MFA 20:1 (Eicosenoic) (gm)","MFA 20:1 (Eicosenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTM221","MFA 22:1 (Docosenoic) (gm)","MFA 22:1 (Docosenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTMAGN","Magnesium (mg)","Magnesium (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTMFAT","Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTNIAC","Niacin (mg)","Niacin (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTP182","PFA 18:2 (Octadecadienoic) (gm)","PFA 18:2 (Octadecadienoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTP183","PFA 18:3 (Octadecatrienoic) (gm)","PFA 18:3 (Octadecatrienoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTP184","PFA 18:4 (Octadecatetraenoic) (gm)","PFA 18:4 (Octadecatetraenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTP204","PFA 20:4 (Eicosatetraenoic) (gm)","PFA 20:4 (Eicosatetraenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTP205","PFA 20:5 (Eicosapentaenoic) (gm)","PFA 20:5 (Eicosapentaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTP225","PFA 22:5 (Docosapentaenoic) (gm)","PFA 22:5 (Docosapentaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTP226","PFA 22:6 (Docosahexaenoic) (gm)","PFA 22:6 (Docosahexaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTPFAT","Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTPHOS","Phosphorus (mg)","Phosphorus (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTPOTA","Potassium (mg)","Potassium (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTPROT","Protein (gm)","Protein (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTS040","SFA 4:0 (Butanoic) (gm)","SFA 4:0 (Butanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTS060","SFA 6:0 (Hexanoic) (gm)","SFA 6:0 (Hexanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTS080","SFA 8:0 (Octanoic) (gm)","SFA 8:0 (Octanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTS100","SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTS120","SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTS140","SFA 14:0 (Tetradecanoic) (gm)","SFA 14:0 (Tetradecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTS160","SFA 16:0 (Hexadecanoic) (gm)","SFA 16:0 (Hexadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTS180","SFA 18:0 (Octadecanoic) (gm)","SFA 18:0 (Octadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTSELE","Selenium (mcg)","Selenium (mcg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTSFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTTFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTTHEO","Theobromine (mg)","Theobromine (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTVAIU","Vitamin A (IU)","Vitamin A (IU)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTVARE","Vitamin A (RE)","Vitamin A (RE)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTVB1","Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTVB12","Vitamin B12 (mcg)","Vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTVB2","Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTVB6","Vitamin B6 (mg)","Vitamin B6 (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTVC","Vitamin C (mg)","Vitamin C (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTVE","Vitamin E (ATE) (mg)","Vitamin E (Alpha-Tocopherol Equivalents) (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTWATE","Moisture (gm)","Moisture (gm)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"DRXTZINC","Zinc (mg)","Zinc (mg)","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"WTDR4YR","Dietary day one 4-Year sample weight","Dietary day one 4-Year sample weight - Used for 1999-2002 data collection years only","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
"WTDRD1","Dietary day one 2-Year sample weight","Dietary day one 2-Year sample weight - Used for 1999-2000 data collection years only","Both males and females 0 YEARS - 150 YEARS","DRXTOT"
