Variable	Table	Synonym
OHD02CJD	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD02CJM	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD02CJS	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD02LAD	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD02LAM	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD02LAS	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD02PCD	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, distofacial site measuring pocket depth in mm"
OHD02PCM	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, midfacial site measuring pocket depth in mm"
OHD02PCS	OHXPRU_C	"Peridontal attachment loss upper right 2nd molar, mesiofacial site measuring pocket depth in mm"
OHD03CJD	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD03CJM	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, midfacial site measuring from free gingival margin to cemento enamel junction"
OHD03CJS	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, mesiofacial site measuring from free gingival margin to cemento enamel junction"
OHD03LAD	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, distofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD03LAM	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, midfacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD03LAS	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, mesiofacial site subtracting distance of free gingival margin to cemento enamel junction from measure of free gingival margin to base of sulcus"
OHD03PCD	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, distofacial site measuring pocket depth in mm"
OHD03PCM	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, midfacial site measuring pocket depth in mm"
OHD03PCS	OHXPRU_C	"Peridontal attachment loss upper right 3rd molar, mesiofacial site measuring pocket depth in mm"
OHD04CJD	OHXPRU_C	"Peridontal attachment loss upper right 4th molar, distofacial site measuring from free gingival margin to cemento enamel junction"
OHD04CJM	OHXPRU_C	"Peridontal attachment loss upper right 4th molar, midfacial site measuring from free gingival margin to cemento enamel junction"
