"Table"	"TableName"	"BeginYear"	"EndYear"	"DataGroup"	"UseConstraints"	"DocFile"	"DataFile"	"DatePublished"
"DEMO"	"Demographic Variables & Sample Weights"	"1999"	"2000"	"Demographics"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.XPT"	"Updated September 2009"
"DRXIFF"	"Dietary Interview - Individual Foods"	"1999"	"2000"	"Dietary"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXIFF.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXIFF.XPT"	"Updated July 2010"
"DRXTOT"	"Dietary Interview - Total Nutrient Intakes"	"1999"	"2000"	"Dietary"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXTOT.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DRXTOT.XPT"	"Updated July 2010"
"DSQFILE1"	"Dietary Supplement Use 30-Day - File 1, Supplement Counts"	"1999"	"2000"	"Dietary"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE1.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE1.XPT"	"Updated July 2009"
"DSQFILE2"	"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements"	"1999"	"2000"	"Dietary"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE2.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE2.XPT"	"Updated July 2009"
"BPX"	"Blood Pressure"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BPX.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BPX.XPT"	"June 2002"
"BMX"	"Body Measures"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BMX.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BMX.XPT"	"June 2002"
"CVX"	"Cardiovascular Fitness"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CVX.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CVX.XPT"	"June 2004"
"AUX1"	"Audiometry"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUX1.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUX1.XPT"	"Updated February 2005"
"AUXTYM"	"Audiometry - Tympanometry"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUXTYM.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUXTYM.XPT"	"February 2006"
"BIX"	"Bioelectrical Impedance Analysis"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BIX.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BIX.XPT"	"Updated December 2009"
"BAX"	"Balance"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BAX.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BAX.XPT"	"Updated June 2005"
"LEXABPI"	"Lower Extremity Disease - Ankle Brachial Blood Pressure Index"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LEXABPI.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LEXABPI.XPT"	"June 2002"
"LEXPN"	"Lower Extremity Disease - Peripheral Neuropathy"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LEXPN.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LEXPN.XPT"	"June 2002"
"MSX"	"Muscle Strength"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/MSX.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/MSX.XPT"	"June 2002"
"OHXDENT"	"Oral Health - Dentition"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/OHXDENT.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/OHXDENT.XPT"	"Updated June 2006"
"OHXPERIO"	"Oral Health - Periodontal"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/OHXPERIO.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/OHXPERIO.XPT"	"January 2004"
"OHXREF"	"Oral Health - Recommendation of Care"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/OHXREF.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/OHXREF.XPT"	"Updated May 2006"
"SEQ"	"Shared Exclusion Questions"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SEQ.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SEQ.XPT"	"June 2002"
"TB"	"Tuberculosis"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/TB.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/TB.XPT"	"Updated January 2008"
"VIX"	"Vision"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/VIX.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/VIX.XPT"	"Updated February 2005"
"DXX_2_00"	"Dual-Energy X-ray Absorptiometry - Whole Body, Second Exam"	"2000"	"2000"	"Examination"	"RDC Only"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/DXX_2_00.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/2000-2000/DXX_2_00.XPT"	
"AUXAR"	"Audiometry - Acoustic Reflex"	"1999"	"2000"	"Examination"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUXAR.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUXAR.XPT"	"January 2015"
"SSCHL_A"	"Sex Steroid Hormone - Men (Surplus)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSCHL_A.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/SSCHL_A.XPT"	"Updated April 2022"
"L02HBS"	"Hepatitis B Surface Antibody"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/L02HBS.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/L02HBS.XPT"	"Updated June 2008"
"L02HPA_a"	"Hepatitis A Antibody"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/L02HPA_a.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/L02HPA_a.XPT"	
"PH"	"Fasting Questionnaire"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/PH.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/PH.XPT"	"Updated December 2005"
"PHPYPA"	"Phthalates, Phytoestrogens & PAHs - Urine PHPYPA Urinary Phthalates"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/PHPYPA.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/PHPYPA.XPT"	"Updated January 2012"
"UC"	"Pregnancy Test - Urine"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/UC.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/UC.XPT"	"Updated January 2007"
"LAB03"	"HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB03.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB03.XPT"	"Updated August 2006"
"LAB04"	"Volatile Organic Compounds - Blood & Water"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB04.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB04.XPT"	"December 2006"
"LAB05"	"Chlamydia & Gonorrhea - Urine"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB05.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB05.XPT"	"June 2002"
"LAB06"	"Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB06.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB06.XPT"	"Updated September 2007"
"LAB06HM"	"Metals - Urine"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB06HM.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB06HM.XPT"	"Updated September 2023"
"LAB07"	"Latex"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB07.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB07.XPT"	"June 2002"
"LAB10"	"Glycohemoglobin"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB10.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB10.XPT"	"Updated March 2012"
"LAB10AM"	"Plasma Fasting Glucose, Serum C-peptide & Insulin"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB10AM.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB10AM.XPT"	"Updated September 2009"
"LAB11"	"C-Reactive Protein (CRP)"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB11.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB11.XPT"	"Updated September 2008"
"Lab13"	"Cholesterol - Total & HDL"	"1999"	"2000"	"Laboratory"	"None"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/Lab13.htm"	"https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/Lab13.XPT"	
